question,label
"What is the capital of New Zealand?
a. Sydney
b. Wellington
c. Auckland
d. Melbourne
",B
"Which of these horror films spawned the most sequels?
a. Scream'
b. Jaws'
c. Halloween'
d. Friday the 13th'
",D
"A first-grade teacher is planning activities to introduce students to nonstandard units of measurement. Which of the following activities will best meet the teacher's goal?
a. Asking students to stand in a line, from the shortest person to the tallest
b. Asking students to use pencils to measure the length of a desk
c. Asking students to determine how many one-liter bottles of water can fill a onegallon container
d. Asking students to use a measuring tape to measure the length of the classroom door
",B
"What type of meat is on a traditional Reuben sandwich?
a. turkey
b. bologna
c. corned beef
d. pepperoni
",C
"How many ribs are there in the human body?
a. 18
b. 24
c. 30
d. 42
",B
"The true length of a block of wood is 1.010 cm. Three measurements of this block produced the following values: 1.4 cm, 1.2 cm, and 0.9 cm. Which of the following statements is true concerning these measurements?
a. They are precise and accurate.
b. They are precise but not accurate.
c. They are accurate but not precise.
d. They are neither precise nor accurate.
",D
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?
a. $20,000,000
b. $200,000,000
c. $2,000,000,000
d. $20,000,000,000
",B
"Animals in which of the following groups may have a backbone and a spinal cord?
a. Mollusks
b. Chordates
c. Invertebrates
d. Echinoderms
",B
"The principles of xeriscaping are best exemplified by a homeowner who
a. installs an in-ground sprinkler system that operates on a timer
b. lowers the cutting height on the lawn mower to reduce the surface area in contact with the cutting blade
c. increases the use of fertilizer on the turfgrass to promote growth
d. replaces nonnative ornamentals with native shrubs that do not require irrigation
",D
"Which of these words is spelled correctly?
a. decieve
b. foriegn
c. hygiene
d. wierd
",C
"Which of these companies is not an online stock brokerage?
a. E*Trade
b. EDigital
c. Datek Online
d. DLJ Direct
",B
"How many ships did Columbus set sail with on his initial voyage to ""the New World""?
a. Two
b. Three
c. Five
d. Ten
",B
"In a game with no wild cards what is the highest possible poker hand?
a. straight flush
b. royal flush
c. full house
d. four of a kind
",B
"In what state is the 1999 movie Magnolia' set?
a. California
b. South Carolina
c. Georgia
d. Texas
",A
"On what body part should you wear a babushka?
a. head
b. hands
c. foot
d. legs
",A
"To ward off bad luck what do many people do to wood?
a. knock on it
b. kiss it
c. thank it
d. scratch it
",A
"Where would you typically find a bailiff?
a. grocery store
b. courtroom
c. football stadium
d. doctor's office
",B
"What kind of angle is formed where two perpendicular lines meet?
a. obtuse
b. acute
c. right
d. invisible
",C
"How many pairs of chromosomes are in the genome of a typical person?
a. 1
b. 23
c. 88
d. 7921
",B
"What was the birth name of civil rights leader Malcolm?
a. Michael Brown
b. Malcolm Little
c. Malcolm Lincoln
d. Michael Lloyd
",B
"Which of the following is part of a farm combine?
a. Beater
b. Conditioner
c. Seed plate
d. Furrow opener
",A
"According to the title of a popular children's TV show what color is Bear's big house?
a. red
b. green
c. purple
d. blue
",D
"In computer terminology what does the acronym 'ISP' stand for?
a. Individual Site Privacy
b. Investment Stability Plan
c. Internal Security Position
d. Internet Service Provider
",D
"Ballad opera, opera buffa and opéra comique shared which feature?
a. They contained da capo arias
b. They began with a French overture.
c. They focused on everyday problems.
d. They contained obbligato recitative.
",C
"A pita is a type of what?
a. Fresh Fruit
b. flat bread
c. French tart
d. fried bean dip
",B
"In traditional English puppet shows who is married to the character Punch?
a. Debbie
b. Victoria
c. Judy
d. Barbara
",C
"Which of the following is most likely to result from a collision between a continental lithospheric plate and an oceanic lithospheric plate?
a. A chain of coastal volcanic mountains
b. A magnetic reversal
c. A mid-oceanic ridge
d. A transform fault
",A
"According to Article III, Section 1, of the United States Constitution, judges ""shall hold their offices during good behavior..."" A consequence of this clause is that:
a. Congress cannot remove federal judges from office
b. federal judges have political independence to fulfill their duties
c. the president has no influence over the composition of the Supreme Court
d. federal judges lack opportunity for advancement or promotion
",B
"Which of these is not a 'lock' function on a standard desktop computer keyboard?
a. print lock
b. number lock
c. scroll lock
d. caps lock
",A
"The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as
a. capitalism
b. conceptualism
c. structuralism
d. institutionalism
",D
"Which of the following is generally the first step taken in a large-scale commercial construction venture?
a. Filing applications for building permits and variances
b. Ordering the materials needed for the building foundation
c. Drafting a contract that spells out the details of the building plan
d. Holding a discussion between the developer and the designer/contractor about the scope of the construction
",D
"Which of these famous baseball figures was once acquitted at court-martial for insubordination?
a. Abner Doubleday
b. Ty Cobb
c. Jackie Robinson
d. Billy Martin
",C
"How long is the time on an NBA shot clock?
a. 18 seconds
b. 24 seconds
c. 30 seconds
d. 35 seconds
",B
"What is the proper nautical use of an anchor?
a. to catch large fish
b. to calculate water depth
c. to hold a ship in place
d. to damage other boats
",C
"Which of these animals is a rodent?
a. Bat
b. Wolverine
c. Beaver
d. Koala
",C
"Who or what was Big Bertha?
a. a comet
b. a World War I gun
c. a pro wrestling champion
d. a giant Muppet
",B
"What is the only metal that is a liquid at normal atmospheric pressure and temperature?
a. lead
b. antimony
c. uranium
d. mercury
",D
"In the United States what is the first day of spring?
a. 21-Feb
b. 21-Mar
c. 21-Apr
d. 21-May
",B
"In 1960 Nazi official Adolph Eichmann was finally captured in what country?
a. Brazil
b. East Germany
c. Argentina
d. Paraguay
",C
"In the film 'The Talented Mr Ripley' who plays Mr Ripley?
a. Jude Law
b. Matt Damon
c. Dustin Hoffman
d. Ben Affleck
",B
"What does the 'ROM' in CD-ROM stand for?
a. Really Obscure Memory
b. Run-Other Memory
c. Random Object Memory
d. Read-Only Memory
",D
"Mohair is made from the fleece of what animal?
a. camel
b. llama
c. goat
d. mole
",C
"What do herpetologists study?
a. Herpes
b. Blood
c. Insects
d. Reptiles and amphibians
",D
"How much does it cost to air condition all American automobiles for a year (as of 2018)?
a. $10m
b. $100m
c. $1 billion
d. $10 billion
",C
"Which of the following is a true statement about the flow of energy in an ecosystem?
a. Smaller organisms need less energy per gram of body weight than do larger organisms.
b. Energy transfer between organisms normally involves conservation of heat energy.
c. Energy flow between trophic levels is inefficient.
d. Chemical energy is converted into radiant energy, which is then converted into chemical energy at the next trophic level.
",C
"Which of these is a government agency established to protect investors?
a. AAA
b. NBA
c. SEC
d. MADD
",C
"What famous folksinger founded the Institute for the Study of Non-Violence in 1965?
a. Bob Dylan
b. Woody Guthrie
c. Joan Baez
d. Peter Yarrow
",C
"In what decade did Israel become an independent state?
a. 1920s
b. 1940s
c. 1950s
d. 1960s
",B
"What is the name of the Newtonian law that states 'An object in Motion tends to stay in motion'?
a. Law of Inertia
b. Law of Thermodynamics
c. Law of Relativity
d. Law of Gravitation
",A
"During which of the following processes within the hydrologic cycle do water molecules absorb energy?
a. Formation of ice from water
b. Formation of a cloud from water vapor
c. Runoff along the land surface
d. Evaporation from the ocean surface
",D
"Which of the following is the best source of objective information about a prospective employer that is publicly traded?
a. Annual reports
b. Press releases
c. Newspaper articles
d. 10-K filings with the SEC
",D
"What is the proletariat?
a. the homeless
b. the royalty
c. the upper class
d. the working class
",D
"Which of the following lists includes minerals only?
a. Granite, gabbro, diorite, quartz, feldspar
b. Gold, quartz, topaz, diamond, corundum
c. Gneiss, schist, phyllite, chlorite, mica
d. Coal, chert, limestone, dolomite, halite
",B
"What sport is featured in the 1996 movie 'Kingpin'?
a. wrestling
b. golf
c. chess
d. bowling
",D
"Who was the mother of the Greek god Zeus?
a. Gaia
b. Phoebe
c. Rhea
d. Hera
",C
"A passage Jane Eyre is as follows. This was all the account I got from Mrs. Fairfax of her employer and mine. There are people who seem to have no notion of sketching a character, or observing and describing salient points, either in persons or things: the good lady evidently belonged to this class; my queries puzzled, but did not draw her out. Mr. Rochester was Mr. Rochester in her eyes, a gentleman, a landed proprietor‚Äìnothing more: she inquired and searched no further, and evidently wondered at my wish to gain a more definite notion of his identity. Mrs. Fairfax differs from the speaker in that Mrs. Fairfax
a. has more interest in the complexities of people's personalities
b. judges people by their social station in life
c. is more willing to take people at face value
d. has a more positive opinion of Mr. Rochester
",C
"Who originally proposed the idea of daylight-saving time?
a. Benjamin Franklin
b. Henry David Thoreau
c. Galileo
d. Albert Einstein
",A
"The American patriot Paul Revere was named for his father whose original name was what?
a. John Paul Revere
b. Paul Silver
c. Apollos Rivoire
d. Paolo Reverini
",C
"What does the Yiddish word""'meshuga' mean?
a. crazy
b. sacred
c. stingy
d. sweet
",A
"This question refers to the following information.
The invaders had brought in wheat and other Eurasian and African grains; peach, pear, orange, and lemon trees; chick-peas, grape vines, melons, onions, radishes, and much more. A Spanish nobleman come to America could require his Indians to furnish his table with the fruits of his ancestors.
—Alfred Crosby, historian, 1972
What was the impact of this process on Europe?
a. The population increased due to the increased diversity of crops.
b. The population declined as a result of imported disease.
c. The population increased due to New World immigrants.
d. The population declined because of famine caused by the mass export of crops.
",A
"This question refers to the following information.
The passage below is taken from testimony before Parliament.
Joshua Drake, called in; and Examined.
You say you would prefer moderate labour and lower wages; are you pretty comfortable upon your present wages?
—I have no wages, but two days a week at present; but when I am working at some jobs we can make a little, and at others we do very poorly.
When a child gets 3s. a week, does that go much towards its subsistence?
—No, it will not keep it as it should do.
Why do you allow your children to go to work at those places where they are ill-treated or over-worked?
—Necessity compels a man that has children to let them work.
Then you would not allow your children to go to those factories under the present system, if it was not from necessity?
—No.
—Testimony given before the Sadler Committee, 1831–32
Which period in history is associated with the conditions described in the passage?
a. The Enlightenment
b. The Green Revolution
c. The Scientific Revolution
d. The Industrial Revolution
",D
"This question refers to the following information.
Bonesteel's prime consideration was to establish a surrender zone as far north as he thought the Soviets would accept. He knew that the Russian troops could reach the southern tip of Korea before American troops could arrive. He also knew that the Russians were on the verge of moving into Korea, or were already there. The nearest American troops to Korea were on Okinawa, 600 miles away. His problem, therefore, was to compose a surrender arrangement which, while acceptable to the Russians, would at the same time prevent them from seizing all of Korea. If they refused to confine their advance to north Korea, the United States would be unable to stop them. . . . He decided to use the 38th parallel as a hypothetical line dividing the zones within which Japanese forces in Korea would surrender to appointed American and Russian authorities.
—Adapted from U.S. Army Lt. Paul C. McGrath's account of Colonel Bonesteel's decision in the 1940s
What was the world history event occurring in the stated time frame that caused the Soviet Union to enter Korea?
a. The Crimean War
b. World War I
c. World War II
d. The Seven Years’ War
",C
"This question refers to the following information.
""We are not Europeans; we are not Indians; we are but a mixed species of aborigines and Spaniards. Americans by birth and Europeans by law, we find ourselves engaged in a dual conflict: we are disputing with the natives for titles of ownership, and at the same time we are struggling to maintain ourselves in the country that gave us birth against the opposition of the invaders. Thus our position is most extraordinary and complicated. But there is more. As our role has always been strictly passive and political existence nil, we find that our quest for liberty is now even more difficult of accomplishment; for we, having been placed in a state lower than slavery, had been robbed not only of our freedom but also of the right to exercise an active domestic tyranny…We have been ruled more by deceit than by force, and we have been degraded more by vice than by superstition. Slavery is the daughter of darkness: an ignorant people is a blind instrument of its own destruction. Ambition and intrigue abuses the credulity and experience of men lacking all political, economic, and civic knowledge; they adopt pure illusion as reality; they take license for liberty, treachery for patriotism, and vengeance for justice. If a people, perverted by their training, succeed in achieving their liberty, they will soon lose it, for it would be of no avail to endeavor to explain to them that happiness consists in the practice of virtue; that the rule of law is more powerful than the rule of tyrants, because, as the laws are more inflexible, every one should submit to their beneficent austerity; that proper morals, and not force, are the bases of law; and that to practice justice is to practice liberty.""
Simón de Bolívar, Message to the Congress of Angostura, 1819
The passage is best understood in the context of which of the following political movements?
a. The fight for workers' rights in Central America
b. The fight for independence in South America
c. The fight for economic justice in the Caribbean
d. The fight for political autonomy in the Philippines
",B
"This question refers to the following information.
Source 1:
""Moreover, Sir, in our Kingdoms there is another great inconvenience which is of little service to God, and this is that many of our people, keenly desirous as they are of the wares and things of your Kingdoms, which are brought here by your people, and in order to satisfy their voracious appetite, seize many of our people, freed and exempt men, and very often it happens that they kidnap even noblemen and our relatives, and take them to be sold to the white men who are in our kingdoms.""
Letter from King Afonso I of Kongo to King John III of Portugal, 1526
Source 2:
""This expedition has cost us much: it would be unreasonable to send it home with empty hands. Although our [principal] wish is to serve God and the pleasure of the king of Kongo, none the less you will make him understand—as though speaking in our name—what he should do to fill the ships, whether with slaves, or copper, or ivory.""
Instructions from King Manuel of Portugal to his envoy in Kongo, 1512
The interactions described in the letters are best understood in the context of which of the following?
a. Portuguese exploration of the coast of West Africa
b. Catholic missionary efforts in Sub-Saharan Africa
c. State formation in Sub-Saharan Africa
d. Development of the slave trade in Sub-Saharan Africa
",D
"This question refers to the following information.
I don't know whether this world has meaning that transcends it. But I know that I do not know that meaning, and that it is impossible just now for me to know it. What can a meaning outside my condition mean to me? I can understand only in human terms.
Albert Camus, ""The Myth of Sisyphus,"" 1955
The author of the above passage was most associated with which of the following movements?
a. Existentialism
b. Religious fundamentalism
c. New age syncretism
d. Liberation theology
",A
"This question refers to the following information.
Questions to the passage below, an account given to a French officer in Algeria in the 1830s by a member of an Arab slave trade caravan.
The Slave Trade
All of you [soldiers], are summoned . . . to hunt the idolatrous Koholanes [a pejorative word for ""black Africans""]. . . . The soldiery divided themselves into two companies . . . with orders to attack places without defenses and to carry off the inhabitants as well as seizing all peasants busy cultivating their fields. . . . Whilst waiting for the return of the companies despatched to hunt Negroes, we went every day to the slave market where we bought at the following prices:
A Negro with beard………………10 or 15,000 cowries.
They are not considered as merchandise since one has little chance of preventing them from escaping.
An adult Negress………………..10 or 15,000 cowries for the same reasons
An adolescent Negro………………….30,000 cowries
A young Negress ……………………50–60,000 cowries
The price varies according to whether she is more or less beautiful.
A male Negro child……………………..45,000 cowries
A female Negro child ……………………….35–40,000 cowries
Finally, our caravan which had set out from Algeria with sixty-four camels and only sixteen persons, was now augmented by four hundred slaves, of whom three hundred were women. . . . It was at this point that suddenly a confused noise of cries and sobs passed from one group of slaves to another and reached our own. . . . Some rolled on the ground, clung to bushes and absolutely refused to walk. . . . They could only be got up with mighty lashes of the whip and by rendering them completely bloody.
Which statement best supports the argument that religion played a role in the Arab slave trade?
a. Seizing all peasants busy cultivating their fields
b. With orders to attack places without defenses
c. Four hundred slaves, of whom three hundred were women
d. All of you [soldiers], are summoned . . . to hunt the idolatrous Koholanes
",D
"This question refers to the following information.
""Purusa-Sukta""
Purusa is the lord of the immortals, who grow by means of [ritual] food. When the gods performed a sacrifice with the offering Purusa, spring was its clarified butter, summer the kindling, autumn the oblation.
It was Purusa, born in the beginning, which they sprinkled on the sacred grass as a sacrifice. It made the beasts of the air, the forest and the village. From that sacrifice completely offered, the mantras [Rig Veda] and the songs [Samaveda] were born. The sacrificial formulae [Yajurveda] were born from it. From it the horses were born and all that have cutting teeth in both jaws. The cows were born from it, also. From it were born goats and sheep.
When they divided Purusa, how many ways did they apportion him? What was his mouth? What were his arms? What were his thighs, his feet declared to be? His mouth was the Brahman, his arms were the Rajanaya [Ksatriya], his thighs the Vaisya; from his feet the Sudra was born. Thus, they fashioned the worlds. The gods sacrificed with the sacrifice to the sacrifice. These were the first rites.
—Hymns excerpted and adapted from the Rig Veda, oldest surviving literary work, India, 1500–1000 BCE
Which of the following statements is supported by the information in the passage above?
a. The caste system was a purely social construct that reflected its time period.
b. The caste system was encouraged by regional princes to reinforce social stability.
c. The caste system reinforced Indian identity in the face of Muslim invaders.
d. The caste system was integral to the Hindu religion, transcending historical eras.
",D
"This question refers to the following information.
""After the Tencteri came, in former days, the Bructeri; but the general account now is, that the Chamavi and Angrivarii entered their settlements, drove them out and utterly exterminated them with the common help of the [neighboring] tribes, either from hatred of their tyranny, or from the attractions of plunder, or from heaven's [favorable] regard for us. It did not even grudge us the spectacle of the conflict. More than sixty thousand fell, not beneath the Roman arms and weapons, but, grander far, before our delighted eyes. May the tribes, I pray, ever retain if not love for us, at least hatred for each other; for while the destinies of empire hurry us on, fortune can give no greater boon than discord among our foes.""
Germania, Publius Cornelius Tacitus, ca. 98 C.E.
Which of the following contributed LEAST to the decline of the Roman Empire?
a. Civil wars between rivals for the throne
b. Incursions of barbarian peoples into the empire
c. The persistence of the senate as a body of government in the empire
d. Demographic weakness on account of diseases and epidemics
",C
"This question refers to the following information.
Whether the question be to continue or to discontinue the practice of sati, the decision is equally surrounded by an awful responsibility. To consent to the consignment year after year of hundreds of innocent victims to a cruel and untimely end, when the power exists of preventing it, is a predicament which no conscience can contemplate without horror. But, on the other hand, to put to hazard by a contrary course the very safety of the British Empire in India is an alternative which itself may be considered a still greater evil. When we had powerful neighbours and greater reason to doubt our own security, expediency might recommend a more cautious proceeding, but now that we are supreme my opinion is decidedly in favour of an open and general prohibition.
William Bentinck, Govenor-General of India, ""On the Suppression of Sati,"" 1829
I have made it my study to examine the nature and character of the Indians [who trade with us], and however repugnant it may be to our feelings, I am convinced they must be ruled with a rod of iron, to bring and keep them in a proper state of subordination, and the most certain way to effect this is by letting them feel their dependence on [the foodstuffs and manufactured goods we sell them].
George Simpson, Head of Northern Department, Hudson's Bay Company, 1826
The authors of both passages served institutions associated with which of the following colonial techniques commonly used by Western imperial powers?
a. Direct rule by the crown
b. Complete privatization of colonial authority
c. Martial law enforced by sizable armies
d. The chartering of companies to assume costs and share profits
",D
"This question refers to the following information.
But the decline of Rome was the natural and inevitable effect of immoderate greatness. Prosperity ripened the principle of decay; the causes of destruction multiplied with the extent of conquest; and, as soon as time or accident had removed the artificial supports, the stupendous fabric yielded to the pressure of its own weight. . . . The victorious legions, who, in distant wars, acquired the vices of strangers and mercenaries, first oppressed the freedom of the republic, and afterwards violated the majesty of the purple. The emperors, anxious for their personal safety and the public peace, were reduced to the base expedient of corrupting the discipline which rendered them alike formidable to their sovereign and to the enemy; the vigour of the military . . . was relaxed . . . ; and the Roman world was overwhelmed by a deluge of Barbarians.
—Adapted from Decline and Fall of the Roman Empire, by Edward Gibbon
The author of the above passage claims: ""Prosperity ripened the principle of decay; the causes of destruction multiplied with the extent of conquest."" What does he mean by this?
a. The rulers became too rich and thus were overthrown.
b. The empire became too large to control effectively.
c. Decay begins the minute something begins to grow.
d. Conquest and prosperity are mutually exclusive.
",B
"This question refers to the following information.
Woman, wake up; the bell of reason is being heard throughout the whole universe; discover your rights. Enslaved man has multiplied his strength, [but] having become free, he has become unjust to his companion. Oh, women, women! When will you cease to be blind? What advantage have you received from the Revolution? A more pronounced scorn, a more marked disdain. If our leaders persist, courageously oppose the force of reason to their empty pretentions of superiority. Regardless of what barriers confront you, it is in your power to free yourselves!
Olympe de Gouges, ""Declaration of the Rights of Woman and the Female Citizen,"" 1791
The independence? Nothing of what I hoped for was achieved. I had expected that my children would be able to have an education, but they did not get it. We were poor peasants then, we are poor peasants now. Nothing has changed. Everything is the same. The only thing is that we are free, the war is over, we work without fear—but apart from that, nothing has changed.
Halima Ghomri, interviewed in the 1970s, after Algeria's war of independence
Publication of the first passage was followed by which of the political outcomes described below?
a. French women, like Jews, Protestants, and freed blacks, attained political equality after only a short delay.
b. French women quickly gained the right to vote, but not to hold political office.
c. French women found their status even lower than it had been before the French Revolution.
d. French women remained without full political rights until well into the following century.
",D
"This question refers to the following information.
Whether the question be to continue or to discontinue the practice of sati, the decision is equally surrounded by an awful responsibility. To consent to the consignment year after year of hundreds of innocent victims to a cruel and untimely end, when the power exists of preventing it, is a predicament which no conscience can contemplate without horror. But, on the other hand, to put to hazard by a contrary course the very safety of the British Empire in India is an alternative which itself may be considered a still greater evil. When we had powerful neighbours and greater reason to doubt our own security, expediency might recommend a more cautious proceeding, but now that we are supreme my opinion is decidedly in favour of an open and general prohibition.
William Bentinck, Govenor-General of India, ""On the Suppression of Sati,"" 1829
I have made it my study to examine the nature and character of the Indians [who trade with us], and however repugnant it may be to our feelings, I am convinced they must be ruled with a rod of iron, to bring and keep them in a proper state of subordination, and the most certain way to effect this is by letting them feel their dependence on [the foodstuffs and manufactured goods we sell them].
George Simpson, Head of Northern Department, Hudson's Bay Company, 1826
The tone of the first passage best supports which of the following suppositions about British motivations for eradicating the sati ritual?
a. The British intended principally to Christianize India's Hindu population.
b. The British sought to end what they considered an inhumane practice without endangering their own authority.
c. They acted out of a progressive concern for women's equality.
d. They were impelled by a racially prejudiced disdain for all Indian customs.
",B
